n,date,location,new_cases,new_deaths,total_cases,total_deaths,recover,total_recover,active_cases
29,6-Feb-2022,Malaysia,10089,9,2914220,32034,6460,2812616,69520
30,7-Feb-2022,Malaysia,11034,9,2925254,32043,6036,2818652,74503
31,8-Feb-2022,Malaysia,13944,13,2939198,32056,5421,2824073,83006
32,9-Feb-2022,Malaysia,17134,9,2956332,32065,5681,2829754,94444
33,10-Feb-2022,Malaysia,19090,10,2975422,32075,5712,2835466,107798
34,11-Feb-2022,Malaysia,20939,24,2996361,32099,5807,2841273,122903
35,12-Feb-2022,Malaysia,22802,15,3019163,32114,5442,2846715,140234
36,13-Feb-2022,Malaysia,21072,11,3040235,32125,5724,2852439,155546
37,14-Feb-2022,Malaysia,21315,24,3061550,32149,8517,2860956,168307
38,15-Feb-2022,Malaysia,22133,31,3083683,32180,7584,2868540,182823
39,16-Feb-2022,Malaysia,27831,21,3111514,32201,7912,2876452,202699
40,17-Feb-2022,Malaysia,26701,39,3138215,32240,11744,2888196,217613
41,18-Feb-2022,Malaysia,27808,36,3166023,32276,12488,2900684,232878
42,19-Feb-2022,Malaysia,28825,34,3194848,32310,18514,2919198,243144
43,20-Feb-2022,Malaysia,26832,37,3221680,32347,18459,2937657,251469
44,21-Feb-2022,Malaysia,25099,43,3246779,32390,17749,2955406,258776
45,22-Feb-2022,Malaysia,27179,43,3273958,32433,19037,2974443,266862
46,23-Feb-2022,Malaysia,31199,55,3305157,32488,20399,2994842,277607
47,24-Feb-2022,Malaysia,32070,46,3337227,32534,23332,3018174,286286
48,25-Feb-2022,Malaysia,30644,57,3367871,32591,22678,3040852,294201
49,26-Feb-2022,Malaysia,27299,43,3395170,32634,22710,3063562,298726
50,27-Feb-2022,Malaysia,24466,39,3419636,32673,22380,3085942,300748
51,28-Feb-2022,Malaysia,23100,75,3442736,32748,30624,3116566,293162
52,1-Mar-2022,Malaysia,25854,78,3468590,32826,25548,3142114,293390
53,2-Mar-2022,Malaysia,27500,115,3496090,32941,27557,3169671,293255
54,3-Mar-2022,Malaysia,32467,86,3528557,33027,27629,3197300,298014
55,4-Mar-2022,Malaysia,33209,78,3561766,33105,26352,3223652,304794
56,5-Mar-2022,Malaysia,33406,67,3595172,33172,27143,3250795,310979
57,6-Mar-2022,Malaysia,27435,55,3622607,33227,30335,3281130,308003
58,7-Mar-2022,Malaysia,26856,77,3649463,33304,30726,3311856,304056
59,8-Mar-2022,Malaysia,31490,79,3680953,33383,29035,3340891,306436
60,9-Mar-2022,Malaysia,30246,113,3711199,33496,26653,3367544,309939
61,10-Mar-2022,Malaysia,30787,70,3741986,33566,26457,3394001,314186
62,11-Mar-2022,Malaysia,32800,76,3774786,33642,24444,3418445,322467
63,12-Mar-2022,Malaysia,26250,77,3801036,33719,25089,3443534,323515
64,13-Mar-2022,Malaysia,22535,87,3823571,33806,25356,3468890,320604
65,14-Mar-2022,Malaysia,22030,92,3845601,33898,33872,3502762,308674
66,15-Mar-2022,Malaysia,26534,95,3872135,33993,31234,3533996,303900
67,16-Mar-2022,Malaysia,28298,105,3900433,34098,33009,3567005,299112
68,17-Mar-2022,Malaysia,27004,86,3927437,34184,29450,3596455,296596
69,18-Mar-2022,Malaysia,24241,59,3951678,34243,26615,3623070,294157
70,19-Mar-2022,Malaysia,22341,85,3974019,34328,33347,3656417,283088
71,20-Mar-2022,Malaysia,19105,71,3993124,34399,28250,3684667,273876
72,21-Mar-2022,Malaysia,17828,63,4010952,34462,28003,3712670,263647
73,22-Mar-2022,Malaysia,21483,73,4032435,34535,32561,3745231,252503
74,23-Mar-2022,Malaysia,22491,65,4054926,34600,26234,3771465,248709
75,24-Mar-2022,Malaysia,24316,64,4079242,34664,25512,3796977,247463
76,25-Mar-2022,Malaysia,21839,52,4101081,34716,22324,3819301,246936
77,26-Mar-2022,Malaysia,20923,34,4122004,34750,25467,3844768,242346
78,27-Mar-2022,Malaysia,16863,38,4138867,34788,26171,3870939,232988
79,28-Mar-2022,Malaysia,13336,54,4152203,34842,25552,3896491,220722
80,29-Mar-2022,Malaysia,15215,64,4167418,34906,24154,3920645,211750
81,30-Mar-2022,Malaysia,15941,33,4183359,34939,21186,3941831,206471
82,31-Mar-2022,Malaysia,18560,44,4201919,34983,18253,3960084,206738
83,1-Apr-2022,Malaysia,17476,30,4219395,35013,17321,3977405,206855
84,2-Apr-2022,Malaysia,14692,56,4234087,35069,20383,3997788,201140
85,3-Apr-2022,Malaysia,12380,30,4246467,35099,20635,4018423,192855
86,4-Apr-2022,Malaysia,10002,28,4256469,35127,23302,4041725,179524
87,5-Apr-2022,Malaysia,12017,33,4268486,35160,20431,4062156,171085
88,6-Apr-2022,Malaysia,12105,32,4280591,35192,21029,4083185,162138
89,7-Apr-2022,Malaysia,11994,36,4292585,35228,16603,4099788,157514
90,8-Apr-2022,Malaysia,14944,31,4307529,35259,14045,4113833,158408
91,9-Apr-2022,Malaysia,10177,21,4317706,35280,15132,4128965,153452
92,10-Apr-2022,Malaysia,8112,12,4325818,35292,15765,4144730,145799
