n,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,active_cases
82,MYS,Asia,Malaysia,21-Jun-21,701019,4611,5508.857,4477,69,72.714,21659.119,142.464,170.205,138.324,2.132,2.247,,,,,,,,,,,,,,,,,,,6051198,4384441,1666757,235623,194709,18.7,13.55,5.15,6016,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,62918
83,MYS,Asia,Malaysia,22-Jun-21,705762,4743,5412.286,4554,77,69.286,21805.662,146.543,167.221,140.703,2.379,2.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,62027
84,MYS,Asia,Malaysia,23-Jun-21,711006.0,5244.0,5425.714,4637.0,83.0,70.714,21967.683,162.022,167.636,143.268,2.564,2.185,,,,,,,,,,76636.0,14053346.0,434.201,2.368,75827.0,2.343,0.072,14.0,people tested,6554500.0,4749133.0,1805367.0,252773.0,206507.0,20.25,14.67,5.58,6380.0,78.7,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,60816
85,MYS,Asia,Malaysia,24-Jun-21,716847.0,5841.0,5440.429,4721.0,84.0,74.143,22148.151,180.467,168.091,145.863,2.595,2.291,,,,,,,,,,74542.0,14127888.0,436.504,2.303,74708.0,2.308,0.073,13.7,people tested,,,,,209447.0,,,,6471.0,78.7,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,61162
86,MYS,Asia,Malaysia,25-Jun-21,722659.0,5812.0,5350.714,4803.0,82.0,75.286,22327.722,179.571,165.319,148.396,2.534,2.326,,,,,,,,,,,,,,,,,,,7039072.0,5072714.0,1966358.0,,218336.0,21.75,15.67,6.08,6746.0,78.7,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,60117
87,MYS,Asia,Malaysia,26-Jun-21,728462.0,5803.0,5335.286,4884.0,81.0,76.571,22507.015,179.293,164.842,150.899,2.503,2.366,,,,,,,,,,,,,,,,,,,7226949.0,5204993.0,2021956.0,187877.0,223400.0,22.33,16.08,6.25,6902.0,78.7,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,60646
88,MYS,Asia,Malaysia,27-Jun-21,734048.0,5586.0,5377.143,4944.0,60.0,76.571,22679.603,172.589,166.136,152.753,1.854,2.366,,,,,,,,,,,,,,,,,,,,,,,227784.0,,,,7038.0,78.7,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,61395
89,MYS,Asia,Malaysia,28-Jun-21,739266.0,5218.0,5463.857,5001.0,57.0,74.857,22840.822,161.219,168.815,154.514,1.761,2.313,,,,,,,,,,,,,,,,,,,7593179.0,5463128.0,2130051.0,,220283.0,23.46,16.88,6.58,6806.0,78.7,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,61812
90,MYS,Asia,Malaysia,29-Jun-21,745703.0,6437.0,5705.857,5108.0,107.0,79.143,23039.704,198.882,176.292,157.82,3.306,2.445,,,,,,,,,,,,,,,,,,,7824912.0,5610911.0,2214001.0,231733.0,217598.0,24.18,17.34,6.84,6723.0,,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,62844
91,MYS,Asia,Malaysia,30-Jun-21,751979.0,6276.0,5853.286,5170.0,62.0,76.143,23233.611,193.907,180.847,159.736,1.916,2.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,64219
